time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°),date
2016-07-16T00:00,31.1,0.0,0.0,3.0,0.0,0.0,10.0,8.4,239.0,2016-07-16
2016-07-17T00:00,25.7,0.2,0.2,55.0,0.0,52.0,80.0,9.1,198.0,2016-07-17
2016-07-18T00:00,31.0,0.0,0.0,8.0,1.0,1.0,23.0,6.1,267.0,2016-07-18
2016-07-19T00:00,26.2,0.0,0.0,34.0,0.0,24.0,65.0,9.0,217.0,2016-07-19
2016-07-20T00:00,25.8,0.0,0.0,19.0,0.0,31.0,0.0,4.8,347.0,2016-07-20
2016-07-21T00:00,25.8,0.0,0.0,20.0,0.0,8.0,50.0,8.0,175.0,2016-07-21
2016-07-22T00:00,27.8,0.0,0.0,30.0,0.0,1.0,98.0,12.0,189.0,2016-07-22
2016-07-23T00:00,31.5,0.0,0.0,14.0,6.0,14.0,0.0,13.5,224.0,2016-07-23
2016-07-24T00:00,30.2,0.0,0.0,2.0,0.0,4.0,0.0,8.2,293.0,2016-07-24
2016-07-25T00:00,28.5,0.0,0.0,29.0,0.0,0.0,95.0,7.3,171.0,2016-07-25
2016-07-26T00:00,24.1,0.4,0.4,63.0,0.0,55.0,100.0,3.4,252.0,2016-07-26
2016-07-27T00:00,30.0,0.0,0.0,14.0,0.0,0.0,48.0,8.3,326.0,2016-07-27
2016-07-28T00:00,28.5,0.0,0.0,21.0,5.0,28.0,0.0,9.2,169.0,2016-07-28
2016-07-29T00:00,26.6,0.0,0.0,34.0,0.0,23.0,67.0,7.4,247.0,2016-07-29
2016-07-30T00:00,26.8,0.0,0.0,36.0,7.0,47.0,4.0,8.1,167.0,2016-07-30
2016-07-31T00:00,23.8,1.7,1.7,100.0,61.0,95.0,100.0,7.4,133.0,2016-07-31
2016-08-01T00:00,24.2,0.1,0.1,100.0,100.0,41.0,51.0,7.6,82.0,2016-08-01
2016-08-02T00:00,23.6,0.0,0.0,100.0,96.0,21.0,17.0,8.5,118.0,2016-08-02
2016-08-03T00:00,22.9,0.0,0.0,10.0,8.0,5.0,0.0,5.4,98.0,2016-08-03
2016-08-04T00:00,23.3,0.0,0.0,1.0,0.0,1.0,0.0,6.3,156.0,2016-08-04
2016-08-05T00:00,24.2,0.0,0.0,10.0,2.0,13.0,0.0,10.6,162.0,2016-08-05
2016-08-06T00:00,25.9,0.0,0.0,57.0,54.0,14.0,0.0,11.7,191.0,2016-08-06
2016-08-07T00:00,27.1,0.1,0.1,6.0,2.0,7.0,0.0,5.4,262.0,2016-08-07
2016-08-08T00:00,28.2,0.0,0.0,0.0,0.0,0.0,0.0,6.5,304.0,2016-08-08
2016-08-09T00:00,26.5,0.0,0.0,3.0,3.0,0.0,0.0,5.5,191.0,2016-08-09
2016-08-10T00:00,25.9,0.0,0.0,27.0,9.0,15.0,33.0,10.6,152.0,2016-08-10
2016-08-11T00:00,27.7,0.0,0.0,66.0,21.0,43.0,72.0,12.0,201.0,2016-08-11
2016-08-12T00:00,28.4,0.2,0.2,56.0,5.0,35.0,100.0,8.7,218.0,2016-08-12
2016-08-13T00:00,28.5,0.0,0.0,37.0,0.0,14.0,95.0,8.2,229.0,2016-08-13
2016-08-14T00:00,31.6,0.0,0.0,36.0,3.0,7.0,97.0,10.6,204.0,2016-08-14
2016-08-15T00:00,28.9,0.0,0.0,52.0,7.0,44.0,65.0,12.0,314.0,2016-08-15
2016-08-16T00:00,29.7,0.0,0.0,21.0,10.0,6.0,27.0,2.9,90.0,2016-08-16
2016-08-17T00:00,29.1,0.0,0.0,53.0,11.0,22.0,98.0,14.0,198.0,2016-08-17
2016-08-18T00:00,27.8,0.0,0.0,3.0,0.0,0.0,9.0,3.8,319.0,2016-08-18
